timestamp_start,timestamp_end,target,ip_protocol,packet_loss,packets_send,ping_avg,ping_worst,ping_best,ping_stddev,average_speed
2024-02-27 08:29:18,2024-02-27 08:29:43,131.173.23.81,v4,0,250,63.698,140.218,48.432,8.263,0
2024-02-27 08:30:13,2024-02-27 08:30:43,131.173.23.81,v4,88.4,250,49.695,55.916,43.821,3.009,0
2024-02-27 08:47:22,2024-02-27 08:48:03,131.173.23.81,v4,19.6,250,64.929,109.394,53.267,7.773,4.53897508628715
2024-02-27 08:49:03,2024-02-27 08:49:28,131.173.23.81,v4,0,250,57.598,80.542,46.611,7.507,7.64393188306749
2024-02-27 08:50:55,2024-02-27 08:51:20,131.173.23.81,v4,1.6,250,51.298,73.723,43.691,5.352,16.383463082213
2024-02-27 08:51:50,2024-02-27 08:52:15,131.173.23.81,v4,3.6,250,57.97,429.078,45.118,32.115,0
2024-02-27 08:52:46,2024-02-27 08:53:11,131.173.23.81,v4,5.2,250,60.419,273.66,47.756,21.171,23.1932552354194
2024-02-27 08:53:42,2024-02-27 08:54:07,131.173.23.81,v4,0,250,53.495,116.012,44.843,5.606,20.5724892144346
2024-02-27 08:55:56,2024-02-27 08:56:21,131.173.23.81,v4,2,250,52.273,107.85,43.727,7.22,39.0582013074821
2024-02-27 08:56:54,2024-02-27 08:57:19,131.173.23.81,v4,0,250,55.404,78.363,43.616,6.48,12.5153465292178
2024-02-27 08:57:50,2024-02-27 08:58:15,131.173.23.81,v4,0.4,250,54.341,88.702,45.174,5.329,0
2024-02-27 08:58:45,2024-02-27 08:59:10,131.173.23.81,v4,2.4,250,55.653,285.737,43.734,17.883,0
2024-02-28 05:04:45,2024-02-28 05:05:10,131.173.23.81,v4,1.6,250,89.453,269.366,55.1,20.923,0
2024-02-28 05:06:10,2024-02-28 05:06:35,131.173.23.81,v4,0,250,58.549,97.36,48.673,5.745,17.669403805937
2024-02-28 05:07:33,2024-02-28 05:07:58,131.173.23.81,v4,0.8,250,69.356,337.43,43.814,24.973,32.0375980071933
2024-02-28 05:08:29,2024-02-28 05:08:54,131.173.23.81,v4,1.2,250,53.153,139.265,43.501,10.207,15.044406801065
2024-02-28 05:09:26,2024-02-28 05:09:51,131.173.23.81,v4,3.2,250,62.675,208.143,46.173,15.211,17.6034481987908
2024-02-28 05:10:23,2024-02-28 05:10:48,131.173.23.81,v4,0,250,64.811,168.51,51.036,11.446,26.1780465878052
2024-02-28 05:11:18,2024-02-28 05:11:43,131.173.23.81,v4,16,250,79.86,415.991,43.899,36.954,32.8249902410492
2024-02-28 05:12:15,2024-02-28 05:12:40,131.173.23.81,v4,2,250,53.306,195.112,43.638,11.063,32.81258154885
2024-02-28 05:13:36,2024-02-28 05:14:01,131.173.23.81,v4,78.4,250,62.287,81.803,47.416,9.331,19.9668716842731
